3.112000,3.112000,3.111769,3.111306,3.110612,3.109687,3.108530,3.107142,3.105522,3.103671,3.101589,3.099276,3.096731,3.093955,3.090947,3.087708,3.084238,3.080654,3.077109,3.073517,3.069976,3.066405,3.062801,3.059232,3.055698,3.052137,3.048557,3.044951,3.041379,3.037837,3.034239,3.030671,3.027137,3.023575,3.019995,3.016387,3.012807,3.009246,3.005712,3.002144,2.998547,2.995022,2.991482,2.987934,2.984380,2.980821,2.977257,2.973689,2.970117,2.966540,2.962958,2.959371,2.955778,2.952177,2.948561,2.945000,2.944748,2.944516,2.944298,2.944093,2.943911,2.943673,2.943478,2.943224,2.942988,2.942762,2.942545,2.942335,2.942135,2.941945,2.941775,2.941566,2.941321,2.941108,2.940925,2.940672,2.940434,2.940206,2.939985,2.939769,2.939560,2.939355,2.939157,2.938966,2.938783,2.938613,2.938412,2.938223,2.938048,2.937887,2.937739,2.937605,2.937484,2.937376,2.937282,2.937201,2.937134,2.937081,2.937040,2.937013,2.937000
0.290000,0.290000,0.294719,0.304156,0.318312,0.337186,0.360779,0.389090,0.422121,0.459869,0.502337,0.549523,0.601427,0.658050,0.719392,0.785452,0.856231,0.929046,1.001862,1.074676,1.147493,1.220308,1.293121,1.365936,1.438753,1.511569,1.584384,1.657197,1.730012,1.802829,1.875642,1.948458,2.021274,2.094090,2.166905,2.239718,2.312533,2.385348,2.458165,2.530980,2.603794,2.676612,2.749428,2.822245,2.895060,2.967876,3.040692,3.113507,3.186322,3.259137,3.331951,3.404766,3.477580,3.550393,3.623206,3.696022,3.768924,3.841826,3.914729,3.987631,4.060533,4.133436,4.206338,4.279240,4.352142,4.425045,4.497947,4.570849,4.643752,4.716654,4.789556,4.862459,4.935361,5.008263,5.081166,5.154068,5.226970,5.299872,5.372775,5.445677,5.518579,5.591482,5.664384,5.737286,5.810189,5.883091,5.953955,6.020094,6.081509,6.138200,6.190167,6.237409,6.279927,6.317721,6.350791,6.379136,6.402758,6.421655,6.435827,6.445276,6.450000
0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000
-0.000000,-0.004760,-0.009520,-0.014280,-0.019040,-0.023800,-0.028561,-0.033321,-0.038081,-0.042841,-0.047601,-0.052361,-0.057121,-0.061881,-0.066641,-0.071401,-0.073742,-0.072933,-0.073913,-0.072861,-0.073480,-0.074140,-0.073443,-0.072717,-0.073268,-0.073648,-0.074203,-0.073501,-0.072881,-0.074032,-0.073413,-0.072713,-0.073273,-0.073660,-0.074247,-0.073660,-0.073273,-0.072711,-0.073405,-0.074003,-0.072533,-0.072834,-0.073000,-0.073125,-0.073231,-0.073327,-0.073418,-0.073507,-0.073598,-0.073694,-0.073800,-0.073926,-0.074095,-0.074408,-0.073266,-0.005181,-0.004778,-0.004493,-0.004201,-0.003750,-0.004906,-0.003995,-0.005237,-0.004864,-0.004647,-0.004470,-0.004302,-0.004123,-0.003901,-0.003499,-0.004315,-0.005030,-0.004377,-0.003782,-0.005207,-0.004880,-0.004697,-0.004555,-0.004432,-0.004316,-0.004200,-0.004079,-0.003941,-0.003767,-0.003479,-0.004153,-0.003876,-0.003598,-0.003321,-0.003043,-0.002766,-0.002489,-0.002212,-0.001935,-0.001659,-0.001382,-0.001105,-0.000829,-0.000552,-0.000276,0.000000
0.000000,0.097087,0.194174,0.291261,0.388348,0.485434,0.582521,0.679608,0.776695,0.873782,0.970869,1.067956,1.165042,1.262129,1.359216,1.456303,1.498186,1.498226,1.498178,1.498229,1.498199,1.498167,1.498201,1.498236,1.498209,1.498191,1.498163,1.498198,1.498228,1.498172,1.498202,1.498237,1.498209,1.498190,1.498161,1.498190,1.498209,1.498237,1.498203,1.498173,1.498245,1.498231,1.498223,1.498216,1.498211,1.498207,1.498202,1.498198,1.498193,1.498189,1.498183,1.498177,1.498169,1.498153,1.498210,1.499991,1.499992,1.499993,1.499994,1.499995,1.499992,1.499995,1.499991,1.499992,1.499993,1.499993,1.499994,1.499994,1.499995,1.499996,1.499994,1.499991,1.499994,1.499995,1.499991,1.499992,1.499993,1.499993,1.499993,1.499994,1.499994,1.499994,1.499995,1.499995,1.499996,1.458046,1.360843,1.263640,1.166437,1.069234,0.972031,0.874828,0.777625,0.680422,0.583219,0.486016,0.388812,0.291609,0.194406,0.097203,0.000000
-0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000
2.937000,2.937000,2.936939,2.936817,2.936634,2.936390,2.936085,2.935719,2.935291,2.934803,2.934253,2.933642,2.932969,2.932236,2.931440,2.930584,2.929665,2.928686,2.927644,2.926541,2.925376,2.924149,2.922860,2.921509,2.920097,2.918621,2.917084,2.915484,2.913822,2.912097,2.910309,2.908459,2.906545,2.904568,2.902528,2.900424,2.898256,2.896024,2.893728,2.891367,2.888942,2.886451,2.883895,2.881273,2.878585,2.875832,2.873012,2.870127,2.867175,2.864158,2.861075,2.857925,2.854842,2.851825,2.848873,2.845988,2.843168,2.840415,2.837727,2.835105,2.832549,2.830058,2.827633,2.825272,2.822976,2.820744,2.818576,2.816472,2.814432,2.812455,2.810541,2.808691,2.806903,2.805178,2.803516,2.801916,2.800379,2.798903,2.797491,2.796140,2.794851,2.793624,2.792459,2.791356,2.790314,2.789335,2.788416,2.787560,2.786764,2.786031,2.785358,2.784747,2.784197,2.783709,2.783281,2.782915,2.782610,2.782366,2.782183,2.782061,2.782000
6.450000,6.450000,6.449911,6.449733,6.449467,6.449111,6.448666,6.448132,6.447509,6.446796,6.445995,6.445104,6.444123,6.443053,6.441894,6.440645,6.439306,6.437877,6.436359,6.434750,6.433051,6.431262,6.429383,6.427414,6.425354,6.423203,6.420961,6.418629,6.416205,6.413690,6.411083,6.408385,6.405595,6.402712,6.399737,6.396669,6.393509,6.390255,6.386907,6.383465,6.379928,6.376297,6.372570,6.368747,6.364828,6.360813,6.356702,6.352494,6.348191,6.343791,6.339296,6.334704,6.330209,6.325809,6.321506,6.317298,6.313187,6.309172,6.305253,6.301430,6.297703,6.294072,6.290535,6.287093,6.283745,6.280491,6.277331,6.274263,6.271288,6.268405,6.265615,6.262917,6.260310,6.257795,6.255371,6.253039,6.250797,6.248646,6.246586,6.244617,6.242738,6.240949,6.239250,6.237641,6.236123,6.234694,6.233355,6.232106,6.230947,6.229877,6.228896,6.228005,6.227204,6.226491,6.225868,6.225334,6.224889,6.224533,6.224267,6.224089,6.224000
0.000000,0.000000,-0.000177,-0.000532,-0.001062,-0.001768,-0.002650,-0.003705,-0.004935,-0.006338,-0.007913,-0.009660,-0.011577,-0.013665,-0.015921,-0.018346,-0.020938,-0.023695,-0.026618,-0.029704,-0.032953,-0.036363,-0.039932,-0.043659,-0.047542,-0.051580,-0.055770,-0.060110,-0.064598,-0.069231,-0.074006,-0.078921,-0.083971,-0.089153,-0.094462,-0.099894,-0.105442,-0.111100,-0.116861,-0.122715,-0.128653,-0.134660,-0.140722,-0.146819,-0.152926,-0.159033,-0.165139,-0.171246,-0.177353,-0.183459,-0.189566,-0.195673,-0.201780,-0.207886,-0.213993,-0.220100,-0.226206,-0.232313,-0.238420,-0.244517,-0.250579,-0.256586,-0.262524,-0.268378,-0.274139,-0.279797,-0.285345,-0.290777,-0.296086,-0.301268,-0.306318,-0.311233,-0.316008,-0.320641,-0.325129,-0.329469,-0.333659,-0.337697,-0.341580,-0.345307,-0.348876,-0.352286,-0.355535,-0.358621,-0.361544,-0.364301,-0.366893,-0.369318,-0.371574,-0.373662,-0.375579,-0.377326,-0.378901,-0.380304,-0.381533,-0.382589,-0.383471,-0.384177,-0.384707,-0.385062,-0.385239
0.000000,-0.007985,-0.015975,-0.023968,-0.031966,-0.039969,-0.047976,-0.055988,-0.064006,-0.072028,-0.080057,-0.088091,-0.096132,-0.104179,-0.112233,-0.120294,-0.128363,-0.136439,-0.144525,-0.152619,-0.160722,-0.168836,-0.176960,-0.185096,-0.193244,-0.201404,-0.209579,-0.217768,-0.225974,-0.234197,-0.242438,-0.250699,-0.258982,-0.267289,-0.275621,-0.283981,-0.292372,-0.300795,-0.309254,-0.317751,-0.326288,-0.334863,-0.343474,-0.352107,-0.360742,-0.369377,-0.378012,-0.386647,-0.395281,-0.403916,-0.412551,-0.403916,-0.395281,-0.386647,-0.378012,-0.369377,-0.360742,-0.352107,-0.343474,-0.334863,-0.326288,-0.317751,-0.309254,-0.300795,-0.292372,-0.283981,-0.275621,-0.267289,-0.258982,-0.250699,-0.242438,-0.234197,-0.225974,-0.217768,-0.209579,-0.201404,-0.193244,-0.185096,-0.176960,-0.168836,-0.160722,-0.152619,-0.144525,-0.136439,-0.128363,-0.120294,-0.112233,-0.104179,-0.096132,-0.088091,-0.080057,-0.072028,-0.064006,-0.055988,-0.047976,-0.039969,-0.031966,-0.023968,-0.015975,-0.007985,0.000000
